index,thickness,intensity
0,2.236792566774006,239.0
1,2.368044507975057,242.5
2,2.867101647197908,249.0
3,3.60339377816692,254.0
4,2.744834895455379,251.0
5,2.7597940466220887,242.0
6,2.9450092612725625,252.0
7,3.3174704506479427,253.0
8,2.290621457860158,240.0
9,3.2824265182205004,254.0
10,2.3915743868064574,239.0
11,2.7530191892419142,250.5
12,2.347965170377628,243.0
13,2.4675844391520845,247.0
14,3.197810884908056,249.0
15,2.4507670983389755,249.0
16,2.1308423568080253,239.0
17,3.518652333209666,254.0
18,2.18791601584398,236.0
19,2.289153363063702,237.5
20,2.275060447541388,243.0
21,2.294688966696093,232.5
22,2.3271819640717704,245.0
23,2.2072933549743134,246.0
24,2.519177638216384,250.0
25,2.4814008583616975,239.0
26,2.5523464458569367,248.0
27,3.557495411200926,254.0
28,2.902751506193317,252.0
29,2.3994823868744,239.0
30,3.651791224270339,254.0
31,2.3797547292914785,239.0
32,1.6467771369476893,230.5
33,2.359456980987976,239.0
34,2.5039765477223126,242.0
35,2.2684103141740892,235.0
36,3.0117017230584175,252.0
37,2.2694189158834774,239.0
38,2.159453225589379,241.5
39,2.6848859314376092,250.5
40,1.9241609537301072,238.5
41,2.7443173717994696,252.0
42,4.260119231320155,254.0
43,2.7509481519323478,251.0
44,2.590253210357138,239.0
45,2.231478788612982,245.0
46,2.176385739072371,239.0
47,2.896222674572465,250.0
48,2.697289053379467,252.0
49,3.476605188483562,254.0
50,2.9378536050938093,252.0
51,2.608495237602225,248.0
52,2.5928054285497573,249.0
53,3.0502595915263115,249.5
54,3.481057808810502,254.0
55,2.6436492557163334,239.0
56,2.2411948600856397,238.0
57,2.165258726334614,239.0
58,1.7139775129306913,229.0
59,2.886535437901556,245.0
60,2.9507977103616176,249.5
61,2.3988949329856024,248.0
62,2.6364196223694183,244.0
63,2.7872529829844135,252.0
64,2.5727120305078226,250.0
65,2.0721315255537855,236.0
66,2.3991083831852174,239.0
67,3.0713422054563435,252.0
68,2.384011209767803,239.0
69,2.310742548383544,239.0
70,2.563609612063313,252.0
71,3.359724168250902,253.0
72,2.5501111747158007,242.0
73,3.502807908065006,253.0
74,2.9612576677133577,252.0
75,2.6188649143121956,240.0
76,2.1153896731435213,247.0
77,1.9640306023509315,237.0
78,3.583744551758431,253.0
79,2.2936982135785207,239.0
80,2.7569682521230185,239.0
81,3.03207286128405,247.0
82,2.2513762977779543,247.5
83,2.5646259295931237,239.0
84,3.036817772677427,252.0
85,3.82849291043188,254.0
86,2.868516498612375,250.0
87,2.526120105089362,250.0
88,2.158890803436492,245.0
89,2.2212247530180846,240.0
90,2.4322505153311815,236.0
91,3.2714923692498825,253.0
92,2.6327341537298685,247.5
93,2.6314584465952437,251.0
94,3.7309606280985292,254.0
95,2.8118938012532686,249.0
96,2.2347725672341667,239.0
97,3.2418502603080297,252.0
98,1.9801662687716437,235.0
99,2.7155481797533882,251.0
100,2.2854039792815497,243.0
101,2.4279910397469,238.5
102,3.4720326105209933,252.0
103,2.5417164116874287,239.0
104,2.5823463241887543,242.0
105,2.043484519111743,239.0
106,2.4942879436526195,244.0
107,2.184372762772831,233.5
