index,thickness,intensity
0,2.253781098574052,202.0
1,2.368044507975057,242.5
2,3.1702344383160495,253.5
3,2.6662710451514515,245.0
4,2.7089827346515665,196.0
5,2.2708804472671926,230.0
6,2.9450092612725625,252.0
7,2.3347561659710223,154.0
8,2.1836926921655393,230.0
9,2.8031340225796173,251.0
10,1.545447963367821,197.0
11,2.7576270956738114,250.5
12,3.2333204518837957,165.0
13,2.9799778219236974,252.0
14,3.8854221080495304,163.0
15,3.3345205262431357,179.0
16,2.1853377181010436,213.0
17,1.9789607786598191,119.0
18,3.0350088254502503,252.0
19,2.618279831199128,245.0
20,1.7738472812522483,152.0
21,3.088287497489367,94.0
22,2.3271819640717704,245.0
23,1.7652935774719412,158.0
24,2.0638025455063707,207.0
25,2.3180803592645565,169.0
26,2.193680191312,230.0
27,3.4510592190121874,107.0
28,2.883759868425403,149.0
29,3.073773706854453,253.0
30,1.4086363596883165,220.0
31,3.4276314829367394,110.0
32,3.0827710848281353,252.0
33,2.2908949013620434,116.0
34,2.8975693405712053,252.0
35,2.2684103141740897,235.0
36,3.035399633146282,128.0
37,2.2694189158834774,239.0
38,3.1301715541932524,252.0
39,2.202194846318624,243.5
40,3.3326172825015714,252.0
41,2.196649694869415,187.0
42,3.0642234165649693,252.0
43,2.735762362409571,231.0
44,2.589227605693989,239.0
45,3.2802692776704054,253.0
46,2.2295372519744223,181.0
47,1.4190577332862768,146.0
48,2.183617242356591,239.0
49,2.4979128741762593,91.0
50,2.031207241656201,221.0
51,1.6433947829996058,74.0
52,2.046665716714778,238.0
53,3.083146108935764,102.0
54,2.4467257256114388,220.0
55,2.6358864325086415,104.0
56,2.236440542626944,238.0
57,3.65046079338863,254.0
58,2.1437241424178692,242.0
59,2.8497954910203283,164.0
60,3.8617940590652746,254.0
61,3.17196150370306,209.0
62,1.7116403977555608,166.0
63,3.371649022862683,254.0
64,2.0330073719070376,175.0
65,2.498103529205608,244.5
66,2.3364889985151374,121.0
67,2.5541663477139362,137.0
68,2.346960403535464,154.0
69,2.280782582540511,117.0
70,2.1805941038208716,186.0
71,3.228645613391749,149.0
72,2.5094384707449744,162.0
73,2.6147708224092603,248.0
74,2.5002400421276754,245.0
75,1.7546973925499627,219.0
76,1.6824830579227215,203.0
77,2.453207328728881,249.0
78,1.8681708953571976,108.5
79,2.284418995147963,83.0
80,2.673724533785447,130.0
81,2.548654488896699,250.0
82,3.0613033006942496,223.0
83,2.574458337876771,239.0
84,2.8998249504334432,113.0
85,2.305323874535174,180.0
86,2.9904157433141565,103.0
87,3.424447167033203,194.0
88,1.721761773291727,138.0
89,2.621793536998199,252.0
90,2.677978190078582,183.0
91,2.411374063930903,239.0
92,1.7405868249565926,229.0
93,2.0790897442689467,110.0
94,2.3253403557836836,236.0
95,2.799459068174036,249.0
96,2.2088134661433316,238.0
97,2.8253228399451915,239.0
98,1.9114164652385937,221.0
99,2.0201811116828634,230.0
100,2.8232891917805674,250.5
101,2.4279910397469,238.5
102,3.465308364378573,252.0
103,2.5615863081016954,106.0
104,2.674527690648222,99.0
105,2.043484519111743,239.0
106,2.426777243559366,202.0
107,1.7992873732069627,231.5
108,3.696666152704984,139.0
109,1.835792493186227,213.0
110,2.3046876045635716,206.0
111,2.6209690374634866,135.0
112,3.7747668696468164,197.0
113,3.3513268043189317,153.0
114,2.138877806967192,239.0
115,1.887411230041024,230.0
116,2.3748298087487596,239.0
117,3.344563699405668,133.0
118,2.1523322287469604,237.0
119,2.486012752781377,245.5
120,2.7692807241580932,245.0
121,2.0725878244702973,233.0
122,3.1147381868637143,252.0
123,2.7188794677139327,233.0
124,2.328227324782472,236.0
125,3.268113130978256,76.0
126,2.693558767682011,133.0
127,3.069268567745243,252.0
128,1.5521905369573674,243.5
129,3.314644485986739,145.0
130,2.7023712982442207,132.5
131,2.8174036411474175,249.0
132,2.586444488027036,246.0
133,2.315055314735536,174.5
134,2.975684659866086,252.0
135,3.7156251547889845,168.0
136,2.404517377315942,248.0
137,1.8680635207429301,215.0
138,2.2449210355800764,219.0
139,2.8171926187065064,249.0
140,3.122826691088801,125.0
141,2.257946664796032,239.0
142,3.6371002573076834,254.0
143,1.864385660203458,233.0
144,2.688886953470022,188.0
145,2.063361927520708,239.0
146,3.0689325936215845,249.5
147,1.9768992836489216,86.0
148,2.216455324907475,239.0
149,3.7763457903392172,210.0
150,4.8471922442820725,254.0
151,3.0816389181239026,253.0
152,2.1521116099427124,128.0
153,2.433819677728455,242.0
154,2.5247775039376177,252.0
155,2.202594075060318,123.0
156,1.7828117961376513,204.0
157,2.604738975035437,75.0
158,2.2348175803823653,239.0
159,1.788250725205871,78.0
160,2.3240520919994085,239.5
161,2.5231882882907923,127.0
162,2.108808596691304,88.5
163,2.961538539769323,249.0
164,3.515938525639185,253.0
165,2.4743609687324404,239.0
166,2.8293077920962797,247.5
167,3.036235336605429,219.0
168,3.2394566275983343,207.0
169,1.9463875112441458,135.0
170,2.591452172738157,249.0
171,2.733261023125029,211.0
172,2.5728144045125783,129.0
173,1.8217825685519038,218.0
174,3.049465642523196,252.0
175,2.5635188866853755,132.0
176,2.790203577483634,252.0
177,2.2184799575175527,242.0
178,2.0074158773967405,160.0
179,4.133714883858329,254.0
180,3.3761763973159886,178.0
181,2.2417728466100884,242.5
182,2.5689744825934118,247.0
183,2.5956708329514635,244.0
184,2.348786384348914,127.0
185,1.9988049118303663,219.0
186,2.379633221533966,150.0
187,3.5996123587221254,253.0
188,3.0705023901703843,119.0
189,2.4574750414594937,239.0
190,1.9333432993156374,152.0
191,2.3916218919937204,139.0
192,1.9560396400806277,177.0
193,3.2008126419867655,252.0
194,2.05441453476562,107.0
195,2.409356042818859,249.0
196,2.9112189403824447,113.0
197,1.7961540407598668,235.0
198,2.931523584668273,238.0
199,1.7092699335457529,105.0
200,2.6094570105942667,145.5
201,1.9941035963599463,236.0
202,1.6213086121333353,76.0
203,2.6085722997350205,247.0
204,2.3238204138057776,239.0
205,2.6609428241504123,204.0
206,1.3743521528446838,95.0
207,3.1039018234810056,252.0
208,2.151658800480411,239.0
209,3.167409803809561,88.0
210,1.8631568960270055,142.0
211,4.1076528528472895,201.0
212,1.4632809053529758,126.5
213,2.5865736054399338,245.0
